AS568B Number,Nominal ID,Nominal OD,Nominal CS,Actual ID,Actual CS,Actual ID mm,Actual CS mm
001,1/32,3/32,1/32,.029ñ.004,.040ñ.003,0.74ñ0.10,1.02ñ0.08
-002,3/64,9/64,3/64,.042ñ.004,.050ñ.003,1.07ñ0.10,1.27ñ0.08
-003,1/16,3/16,1/16,.056ñ.004,.060ñ.003,1.42ñ0.10,1.52ñ0.08
-004,5/64,13/64,1/16,.070ñ.005,.070ñ.003,1.78ñ0.13,1.78ñ0.08
-005,3/32,7/32,1/16,.101ñ.005,.070ñ.003,2.57ñ0.13,1.78ñ0.08
-006,1/8,1/4,1/16,.114ñ.005,.070ñ.003,2.90ñ0.13,1.78ñ0.08
-007,5/32,9/32,1/16,.145ñ.005,.070ñ.003,3.68ñ0.13,1.78ñ0.08
-008,3/16,5/16,1/16,.176ñ.005,.070ñ.003,4.47ñ0.13,1.78ñ0.08
-009,7/32,11/32,1/16,.208ñ.005,.070ñ.003,5.28ñ0.13,1.78ñ0.08
-010,1/4,3/8,1/16,.239ñ.005,.070ñ.003,6.07ñ0.13,1.78ñ0.08
-011,5/16,7/16,1/16,.301ñ.005,.070ñ.003,7.65ñ0.13,1.78ñ0.08
-012,3/8,1/2,1/16,.364ñ.005,.070ñ.003,9.25ñ0.13,1.78ñ0.08
-013,7/16,9/16,1/16,.426ñ.005,.070ñ.003,10.82ñ0.13,1.78ñ0.08
-014,1/2,5/8,1/16,.489ñ.005,.070ñ.003,12.42ñ0.13,1.78ñ0.08
-015,9/16,11/16,1/16,.551ñ.007,.070ñ.003,14.00ñ0.18,1.78ñ0.08
-016,5/8,3/4,1/16,.614ñ.009,.070ñ.003,15.60ñ0.23,1.78ñ0.08
-017,11/16,13/16,1/16,.676ñ.009,.070ñ.003,17.17ñ0.23,1.78ñ0.08
-018,3/4,7/8,1/16,.739ñ.009,.070ñ.003,18.77ñ0.23,1.78ñ0.08
-019,13/16,15/16,1/16,.801ñ.009,.070ñ.003,20.35ñ0.23,1.78ñ0.08
-020,7/8,1,1/16,.864ñ.009,.070ñ.003,21.95ñ0.23,1.78ñ0.08
-021,15/16,1-1/16,1/16,.926ñ.009,.070ñ.003,23.52ñ0.23,1.78ñ0.08
-022,1,1-1/8,1/16,.989ñ.010,.070ñ.003,25.12ñ0.25,1.78ñ0.08
-023,1-1/16,1-3/16,1/16,1.051ñ.010,.070ñ.003,26.70ñ0.25,1.78ñ0.08
-024,1-1/8,1-1/4,1/16,1.114ñ.010,.070ñ.003,28.30ñ0.25,1.78ñ0.08
-025,1-3/16,1-5/16,1/16,1.176ñ.011,.070ñ.003,29.87ñ0.28,1.78ñ0.08
-026,1-1/4,1-3/8,1/16,1.239ñ.011,.070ñ.003,31.47ñ0.28,1.78ñ0.08
-027,1-5/16,1-7/16,1/16,1.301ñ.011,.070ñ.003,33.05ñ0.28,1.78ñ0.08
-028,1-3/8,1-1/2,1/16,1.364ñ.013,.070ñ.003,34.65ñ0.33,1.78ñ0.08
-029,1-1/2,1-5/8,1/16,1.489ñ.013,.070ñ.003,37.82ñ0.33,1.78ñ0.08
-030,1-5/8,1-3/4,1/16,1.614ñ.013,.070ñ.003,41.00ñ0.33,1.78ñ0.08
-031,1-3/4,1-7/8,1/16,1.739ñ.015,.070ñ.003,44.17ñ0.38,1.78ñ0.08
-032,1-7/8,2,1/16,1.864ñ.015,.070ñ.003,47.35ñ0.38,1.78ñ0.08
-033,2,2-1/8,1/16,1.989ñ.018,.070ñ.003,50.52ñ0.46,1.78ñ0.08
-034,2-1/8,2-1/4,1/16,2.114ñ.018,.070ñ.003,53.70ñ0.46,1.78ñ0.08
-035,2-1/4,2-3/8,1/16,2.239ñ.018,.070ñ.003,56.87ñ0.46,1.78ñ0.08
-036,2-3/8,2-1/2,1/16,2.364ñ.018,.070ñ.003,60.05ñ0.46,1.78ñ0.08
-037,2-1/2,2-5/8,1/16,2.489ñ.018,.070ñ.003,63.22ñ0.46,1.78ñ0.08
-038,2-5/8,2-3/4,1/16,2.614ñ.020,.070ñ.003,66.40ñ0.51,1.78ñ0.08
-039,2-3/4,2-7/8,1/16,2.739ñ.020,.070ñ.003,69.57ñ0.51,1.78ñ0.08
-040,2-7/8,3,1/16,2.864ñ.020,.070ñ.003,72.75ñ0.51,1.78ñ0.08
-041,3,3-1/8,1/16,2.989ñ.024,.070ñ.003,75.92ñ0.61,1.78ñ0.08
-042,3-1/4,3-3/8,1/16,3.239ñ.024,.070ñ.003,82.27ñ0.61,1.78ñ0.08
