Size,ID (mm),Cross Sect (mm)
M1X1.15,1.15ñ0.10,1.00ñ0.08
M1X1.5,1.50ñ0.10,1.00ñ0.08
M1X1.8,1.80ñ0.13,1.00ñ0.08
M1X2,2.00ñ0.13,1.00ñ0.08
M1X2.5,2.50ñ0.13,1.00ñ0.08
M1X3,3.00ñ0.13,1.00ñ0.08
M1X3.5,3.50ñ0.13,1.00ñ0.08
M1X4,4.00ñ0.13,1.00ñ0.08
M1X4.5,4.50ñ0.13,1.00ñ0.08
M1X5,5.00ñ0.13,1.00ñ0.08
M1X5.5,5.50ñ0.13,1.00ñ0.08
M1X6,6.00ñ0.13,1.00ñ0.08
M1X6.5,6.50ñ0.13,1.00ñ0.08
M1X7,7.00ñ0.13,1.00ñ0.08
M1X7.5,7.50ñ0.13,1.00ñ0.08
M1X8,8.00ñ0.13,1.00ñ0.08
M1X8.5,8.50ñ0.13,1.00ñ0.08
M1X9,9.00ñ0.13,1.00ñ0.08
M1X9.5,9.50ñ0.13,1.00ñ0.08
M1X10,10.00ñ0.13,1.00ñ0.08
M1X10.5,10.50ñ0.13,1.00ñ0.08
M1X11,11.00ñ0.13,1.00ñ0.08
M1X11.5,11.50ñ0.13,1.00ñ0.08
M1X12,12.00ñ0.15,1.00ñ0.08
M1X12.5,12.50ñ0.15,1.00ñ0.08
M1X13,13.00ñ0.15,1.00ñ0.08
M1X13.5,13.50ñ0.15,1.00ñ0.08
M1X14,14.00ñ0.15,1.00ñ0.08
M1X14.5,14.50ñ0.18,1.00ñ0.08
M1X15,15.00ñ0.18,1.00ñ0.08
M1X15.5,15.50ñ0.18,1.00ñ0.08
M1X16,16.00ñ0.18,1.00ñ0.08
M1X16.5,16.50ñ0.18,1.00ñ0.08
M1X17,17.00ñ0.18,1.00ñ0.08
M1X17.5,17.50ñ0.18,1.00ñ0.08
M1X18,18.00ñ0.20,1.00ñ0.08
M1X18.5,18.50ñ0.20,1.00ñ0.08
M1X19,19.00ñ0.20,1.00ñ0.08
M1X19.5,19.50ñ0.20,1.00ñ0.08
M1X20,20.00ñ0.20,1.00ñ0.08
M1X20.5,20.50ñ0.20,1.00ñ0.08
M1X21,21.00ñ0.23,1.00ñ0.08
M1X21.5,21.50ñ0.23,1.00ñ0.08
M1X22,22.00ñ0.23,1.00ñ0.08
M1X22.5,22.50ñ0.23,1.00ñ0.08
M1X23,23.00ñ0.23,1.00ñ0.08
M1X23.5,23.50ñ0.23,1.00ñ0.08
M1X24,24.00ñ0.25,1.00ñ0.08
M1X24.5,24.50ñ0.25,1.00ñ0.08
M1X25,25.00ñ0.25,1.00ñ0.08
M1.02X1.78,1.78ñ0.13,1.02ñ0.08
M1.5X1.85,1.85ñ0.13,1.50ñ0.08
M1.5X2,2.00ñ0.13,1.50ñ0.08
M1.5X2.5,2.50ñ0.13,1.50ñ0.08
M1.5X2.8,2.80ñ0.13,1.50ñ0.08
M1.5X3,3.00ñ0.13,1.50ñ0.08
M1.5X3.5,3.50ñ0.13,1.50ñ0.08
M1.5X4,4.00ñ0.13,1.50ñ0.08
M1.5X4.5,4.50ñ0.13,1.50ñ0.08
M1.5X5,5.00ñ0.13,1.50ñ0.08
M1.5X5.5,5.50ñ0.13,1.50ñ0.08
M1.5X6,6.00ñ0.13,1.50ñ0.08
M1.5X6.5,6.50ñ0.13,1.50ñ0.08
M1.5X7,7.00ñ0.13,1.50ñ0.08
M1.5X7.5,7.50ñ0.13,1.50ñ0.08
M1.5X8,8.00ñ0.13,1.50ñ0.08
M1.5X8.5,8.50ñ0.13,1.50ñ0.08
M1.5X9,9.00ñ0.13,1.50ñ0.08
M1.5X9.5,9.50ñ0.13,1.50ñ0.08
M1.5X10,10.00ñ0.13,1.50ñ0.08
M1.5X10.5,10.50ñ0.13,1.50ñ0.08
M1.5X11,11.00ñ0.13,1.50ñ0.08
M1.5X11.5,11.50ñ0.13,1.50ñ0.08
M1.5X12,12.00ñ0.15,1.50ñ0.08
M1.5X12.5,12.50ñ0.15,1.50ñ0.08
M1.5X13,13.00ñ0.15,1.50ñ0.08
M1.5X13.5,13.50ñ0.15,1.50ñ0.08
M1.5X14,14.00ñ0.15,1.50ñ0.08
M1.5X14.5,14.50ñ0.18,1.50ñ0.08
M1.5X15,15.00ñ0.18,1.50ñ0.08
M1.5X15.5,15.50ñ0.18,1.50ñ0.08
M1.5X16,16.00ñ0.18,1.50ñ0.08
M1.5X16.5,16.50ñ0.18,1.50ñ0.08
M1.5X17,17.00ñ0.18,1.50ñ0.08
M1.5X17.5,17.50ñ0.18,1.50ñ0.08
M1.5X18,18.00ñ0.20,1.50ñ0.08
M1.5X18.5,18.50ñ0.20,1.50ñ0.08
M1.5X19,19.00ñ0.20,1.50ñ0.08
M1.5X19.5,19.50ñ0.20,1.50ñ0.08
M1.5X20,20.00ñ0.20,1.50ñ0.08
M1.5X20.5,20.50ñ0.20,1.50ñ0.08
M1.5X21,21.00ñ0.23,1.50ñ0.08
M1.5X21.5,21.50ñ0.23,1.50ñ0.08
M1.5X22,22.00ñ0.23,1.50ñ0.08
M1.5X22.5,22.50ñ0.23,1.50ñ0.08
M1.5X23,23.00ñ0.23,1.50ñ0.08
M1.5X23.5,23.50ñ0.23,1.50ñ0.08
M1.5X24,24.00ñ0.25,1.50ñ0.08
M1.5X24.5,24.50ñ0.25,1.50ñ0.08
M1.5X25,25.00ñ0.25,1.50ñ0.08
M1.5X25.5,25.50ñ0.25,1.50ñ0.08
M1.5X26,26.00ñ0.25,1.50ñ0.08
M1.5X26.5,26.50ñ0.25,1.50ñ0.08
M1.5X27,27.00ñ0.25,1.50ñ0.08
M1.5X27.5,27.50ñ0.25,1.50ñ0.08
M1.5X28,28.00ñ0.25,1.50ñ0.08
M1.5X28.5,28.50ñ0.25,1.50ñ0.08
M1.5X29,29.00ñ0.30,1.50ñ0.08
M1.5X29.5,29.50ñ0.30,1.50ñ0.08
M1.5X30,30.00ñ0.30,1.50ñ0.08
M1.5X30.5,30.50ñ0.30,1.50ñ0.08
M1.5X31,31.00ñ0.30,1.50ñ0.08
M1.5X31.5,31.50ñ0.30,1.50ñ0.08
M1.5X32,32.00ñ0.30,1.50ñ0.08
M1.5X32.5,32.50ñ0.30,1.50ñ0.08
M1.5X33,33.00ñ0.30,1.50ñ0.08
M1.5X33.5,33.50ñ0.30,1.50ñ0.08
