Shaft Dia Over,Shaft Dia Thru,Key Width,Key Height,Keyway Width Nominal,Min,Max,Keyway Depth Min,Keyway Depth Max,Keyway Radius Min,Keyway Radius Max
6,8,2,2,2,-0.0125,0.0125,1,1.1,0.08,0.16
8,10,3,3,3,-0.0125,0.0125,1.4,1.5,0.08,0.16
10,12,4,4,4,-0.015,0.015,1.8,1.9,0.08,0.16
12,17,5,5,5,-0.015,0.015,2.3,2.4,0.16,0.25
17,22,6,6,6,-0.015,0.015,2.8,2.9,0.16,0.25
22,30,8,7,8,-0.018,0.18,3.3,3.5,0.16,0.25
30,38,10,8,10,-0.018,0.18,3.3,3.5,0.25,0.4
38,44,12,8,12,-0.0215,0.0215,3.3,3.5,0.25,0.4
44,50,14,9,14,-0.0215,0.0215,3.8,4,0.25,0.4
50,58,16,10,16,-0.0215,0.0215,4.3,4.5,0.25,0.4
58,65,18,11,18,-0.0215,0.0215,4.4,4.6,0.25,0.4
65,75,20,12,20,-0.026,0.026,4.9,5.1,0.4,0.6
75,85,22,14,22,-0.026,0.026,5.4,5.6,0.4,0.6
85,95,25,14,25,-0.026,0.026,5.4,5.6,0.4,0.6
95,110,28,16,28,-0.026,0.026,6.4,6.6,0.4,0.6
110,130,32,18,32,-0.031,0.031,7.4,7.6,0.4,0.6
130,150,36,20,36,-0.031,0.031,8.4,8.7,0.7,1
150,170,40,22,40,-0.031,0.031,9.4,9.7,0.7,1
170,200,45,25,45,-0.031,0.031,10.4,10.7,0.7,1
200,230,50,28,50,-0.031,0.031,11.4,11.7,0.7,1
230,260,56,32,56,-0.037,0.037,12.4,12.7,1.2,1.6
260,290,63,32,63,-0.037,0.037,12.4,12.7,1.2,1.6
290,330,70,36,70,-0.037,0.037,14.4,14.7,1.2,1.6
330,380,80,40,80,-0.037,0.037,15.4,15.7,2,2.5
380,440,90,45,90,-0.0435,0.0435,17.4,17.7,2,2.5
440,500,100,50,100,-0.0435,0.0435,19.5,19.8,2,2.5
