vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,0,Carbide Endmill,800,-1,0.0005,-1,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,1,Carbide Endmill,800,-1,0.0005,-1,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,2,Carbide Endmill,300,-1,0.001,-1,0.002,0.003,0.004,0.004,0.005,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,6,Carbide Endmill,600,-1,0.001,-1,0.002,0.0025,0.004,0.004,0.005,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,3,Carbide Endmill,100,-1,0.0005,-1,0.001,0.0015,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,4,Carbide Endmill,450,-1,0.001,-1,0.002,0.003,0.004,0.005,0.006,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,9,Carbide Endmill,45,-1,0.0004,-1,0.0008,0.001,0.001,0.001,0.002,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,7,Carbide Endmill,60,-1,0.0005,-1,0.001,0.0015,0.002,0.003,0.004,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,11,Carbide Endmill,600,-1,0.0015,-1,0.003,0.004,0.006,0.01,0.15,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,10,Carbide Endmill,350,-1,0.0015,-1,0.003,0.0035,0.004,0.06,0.12,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,15,Carbide Endmill,250,-1,0.0005,-1,0.0015,0.002,0.003,0.005,0.006,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,17,Carbide Endmill,125,-1,0.0005,-1,0.001,0.0015,0.0025,0.004,0.005,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,19,Carbide Endmill,50,-1,0.0002,-1,0.0005,0.001,0.001,0.002,0.003,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,12,Carbide Endmill,100,-1,0.0003,-1,0.001,0.001,0.001,0.0025,0.004,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,13,Carbide Endmill,80,-1,0.0002,-1,0.0005,0.0006,0.0007,0.0015,0.003,-1,-1,-1,-1,-1,1
AdvancedTool,Carbide EM,ALL,,http://www.advancedtool.com/speedandfeed.asp,22,Carbide Endmill,90,-1,0.0005,-1,0.0005,0.0015,0.002,0.003,0.004,-1,-1,-1,-1,-1,1
