vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,15,Carbide Twist Drill,165,0.0002,0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,16,Carbide Twist Drill,165,0.0002,0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,17,Carbide Twist Drill,65,0.0002,0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,18,Carbide Twist Drill,65,0.0002,0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,19,Carbide Twist Drill,65,0.0002,0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,20,Carbide Twist Drill,35,0.00015,0.00015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,21,Carbide Twist Drill,35,0.00015,0.00015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,0,Carbide Twist Drill,200,0.0004,0.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,1,Carbide Twist Drill,200,0.0004,0.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,12,Carbide Twist Drill,30,0.00025,0.00025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.bigkaiser.com/pdfs/Sphinx%20404.pdf#page=16,13,Carbide Twist Drill,65,0.0002,0.0002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
