vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,3,Indexable End / Facemill,325,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,4,Indexable End / Facemill,325,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,12,Indexable End / Facemill,490,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,13,Indexable End / Facemill,490,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,14,Indexable End / Facemill,490,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,0.00787,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,15,Indexable End / Facemill,490,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,16,Indexable End / Facemill,490,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,17,Indexable End / Facemill,490,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,18,Indexable End / Facemill,490,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,19,Indexable End / Facemill,490,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,20,Indexable End / Facemill,490,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,21,Indexable End / Facemill,260,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
Glacern,"Endmill, 90 Degree Lead",EM90-750,Mitsubishi VP15TF (Tougher Materials),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,22,Indexable End / Facemill,100,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,1
