vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Imco,enDuro,M525,,http://imcousa.com/tools/,4,HP Carbide Endmill,375,-1,0.0008,0.0012,0.0016,0.0025,0.0033,0.0049,0.0065,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,12,HP Carbide Endmill,350,-1,0.0008,0.0012,0.0016,0.0025,0.0033,0.0049,0.0065,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,13,HP Carbide Endmill,375,-1,0.0009,0.0017,0.0026,0.003,0.0035,0.0052,0.007,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,14,HP Carbide Endmill,325,-1,0.0007,0.001,0.0014,0.002,0.0027,0.0041,0.0055,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,15,HP Carbide Endmill,400,-1,0.001,0.0014,0.0019,0.0029,0.0038,0.0057,0.0076,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,16,HP Carbide Endmill,400,-1,0.001,0.0014,0.0019,0.0029,0.0038,0.0057,0.0076,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,17,HP Carbide Endmill,375,-1,0.0009,0.0013,0.0017,0.0026,0.0035,0.0052,0.007,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,18,HP Carbide Endmill,375,-1,0.0009,0.0013,0.0017,0.0026,0.0035,0.0052,0.007,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,21,HP Carbide Endmill,350,-1,0.0007,0.0011,0.0015,0.0022,0.0029,0.0044,0.0059,-1,-1,-1,-1,-1,1
Imco,enDuro,M525,,http://imcousa.com/tools/,22,HP Carbide Endmill,300,-1,0.0006,0.0009,0.0013,0.0019,0.0025,0.0038,0.005,-1,-1,-1,-1,-1,1
