vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,0,Indexable Endmill,1330,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,1,Indexable Endmill,1705,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,2,Indexable Endmill,920,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,6,Indexable Endmill,920,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,7,Indexable Endmill,135,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,8,Indexable Endmill,1130,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,12,Indexable Endmill,230,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,13,Indexable Endmill,275,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,14,Indexable Endmill,230,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,15,Indexable Endmill,310,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,16,Indexable Endmill,210,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,17,Indexable Endmill,180,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,18,Indexable Endmill,210,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,19,Indexable Endmill,145,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,20,Indexable Endmill,280,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,21,Indexable Endmill,145,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28,,22,Indexable Endmill,150,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
