vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 581, 331, 313,131",,3,Indexable End / Facemill,275,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 581, 331, 313,131",,4,Indexable End / Facemill,375,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,1
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 581, 831, 131",,7,Indexable End / Facemill,95,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 581, 831, 331, 131",,12,Indexable End / Facemill,625,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 581, 831, 331, 131",,13,Indexable End / Facemill,600,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 581, 831, 331, 131",,14,Indexable End / Facemill,500,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 563, 313, 213",,15,Indexable End / Facemill,900,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 563, 313, 213",,16,Indexable End / Facemill,900,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 563, 313, 213",,17,Indexable End / Facemill,500,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 563, 313, 213",,18,Indexable End / Facemill,225,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 563, 313, 213",,20,Indexable End / Facemill,500,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 563, 313, 213",,20,Indexable End / Facemill,500,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 563, 313, 213",,21,Indexable End / Facemill,225,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0115,0.0115,0.0115,0.015,0.015,
Ingersoll,"Facemill, 45 Degree Lead",6D2C or ^D2G,"Grade 708, 581, 831, 131",,22,Indexable End / Facemill,225,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.01,0.01,
