vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,3,Indexable Endmill,430,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,4,Indexable Endmill,750,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,7,Indexable Endmill,215,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,12,Indexable Endmill,455,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,13,Indexable Endmill,575,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,14,Indexable Endmill,455,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,15,Indexable Endmill,640,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,16,Indexable Endmill,460,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,17,Indexable Endmill,360,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,18,Indexable Endmill,460,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,19,Indexable Endmill,330,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,20,Indexable Endmill,575,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,21,Indexable Endmill,280,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,,22,Indexable Endmill,245,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
