vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,3,TiAlN Carbide Endmill,350,0.0025,0.005,0.0075,0.01,0.015,0.02,0.03,0.04,0.06,0.08,0.12,0.16,0.2,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,4,TiAlN Carbide Endmill,550,0.0025,0.005,0.0075,0.01,0.015,0.02,0.03,0.04,0.06,0.08,0.12,0.16,0.2,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,7,TiAlN Carbide Endmill,110,0.0015,0.003,0.0045,0.006,0.009,0.012,0.018,0.024,0.036,0.048,0.072,0.096,0.12,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,15,TiAlN Carbide Endmill,950,0.0034375,0.006875,0.0103125,0.01375,0.020625,0.0275,0.04125,0.055,0.0825,0.11,0.165,0.22,0.275,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,16,TiAlN Carbide Endmill,900,0.0034375,0.006875,0.0103125,0.01375,0.020625,0.0275,0.04125,0.055,0.0825,0.11,0.165,0.22,0.275,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,17,TiAlN Carbide Endmill,900,0.0034375,0.006875,0.0103125,0.01375,0.020625,0.0275,0.04125,0.055,0.0825,0.11,0.165,0.22,0.275,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,18,TiAlN Carbide Endmill,800,0.0034375,0.006875,0.0103125,0.01375,0.020625,0.0275,0.04125,0.055,0.0825,0.11,0.165,0.22,0.275,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,19,TiAlN Carbide Endmill,800,0.0034375,0.006875,0.0103125,0.01375,0.020625,0.0275,0.04125,0.055,0.0825,0.11,0.165,0.22,0.275,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,20,TiAlN Carbide Endmill,550,0.0028125,0.005625,0.0084375,0.01125,0.016875,0.0225,0.03375,0.045,0.0675,0.09,0.135,0.18,0.225,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,21,TiAlN Carbide Endmill,500,0.0028125,0.005625,0.0084375,0.01125,0.016875,0.0225,0.03375,0.045,0.0675,0.09,0.135,0.18,0.225,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,12,TiAlN Carbide Endmill,350,0.0015,0.003,0.0045,0.006,0.009,0.012,0.018,0.024,0.036,0.048,0.072,0.096,0.12,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,13,TiAlN Carbide Endmill,350,0.0015,0.003,0.0045,0.006,0.009,0.012,0.018,0.024,0.036,0.048,0.072,0.096,0.12,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,14,TiAlN Carbide Endmill,350,0.0015,0.003,0.0045,0.006,0.009,0.012,0.018,0.024,0.036,0.048,0.072,0.096,0.12,1
Lakeshore Carbide,High Feed Endmill,,,http://www.lakeshorecarbide.com/highfeedmills.aspx,22,TiAlN Carbide Endmill,350,0.0021875,0.004375,0.0065625,0.00875,0.013125,0.0175,0.02625,0.035,0.0525,0.07,0.105,0.14,0.175,1
