vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,7,TiAlN Carbide Endmill,85,-1,-1,-1,-1,-1,0.001,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,15,TiAlN Carbide Endmill,475,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,16,TiAlN Carbide Endmill,350,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,17,TiAlN Carbide Endmill,275,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,18,TiAlN Carbide Endmill,275,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,19,TiAlN Carbide Endmill,250,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,20,TiAlN Carbide Endmill,200,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,21,TiAlN Carbide Endmill,150,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,12,TiAlN Carbide Endmill,350,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,13,TiAlN Carbide Endmill,350,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,14,TiAlN Carbide Endmill,350,-1,-1,-1,-1,-1,0.0015,0.002,0.0025,-1,-1,-1,-1,-1,1
Lakeshore Carbide,6-Flute TiAlN Endmill,,,http://www.lakeshorecarbide.com/6fluteendmills.aspx,22,TiAlN Carbide Endmill,200,-1,-1,-1,-1,-1,0.0015,0.002,0.003,-1,-1,-1,-1,-1,1
