Manufacturer,Product,Mfg #,Insert #,url
AdvancedTool,Carbide EM,All Carbide EM's,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/AdvancedtoolEndmills.csv
Big Kaiser Sphinx,"Posicut Cabide Twist Drill, 0.3 - 4mm Dia.",50830,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/BigKaiserSphinxTwistDrills50830 0.3 to 4mm Diameter.csv
Glacern,FM45 45 degree Face Mill,Use Widia TS45F,SEHT43/SEHW43 Uncoated,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/WidiaTS45FSEHT4345DegreeFacemill.csv
Glacern,EM90 indexable endmill,EM90,"Mitsubishi F7030 (Steel, CVD Coated)",http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/GlacernEM90100AAPMT1604F7030.csv
Glacern,EM90 indexable endmill,EM90,Mitsubishi HTI10 (Cast Iron & Non-Ferrous),http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/GlacernEM90100AAPMT1604HTI10.csv
Glacern,EM90 indexable endmill,EM90,Mitsubishi VP15TF (Tougher Materials),http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/GlacernEM90100AAPMT1604VP15TF.csv
Imco,enDuro,M525,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/IMCO_Enduro_M525.csv
Ingersoll,6D2C or 6D2G 45 Degree Facemill,6D2C or 6D2G,"Grade 708, 581, 331, 313,131",http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/Ingersoll6D2Cor6D2G45DegreeFacemill.csv
Iscar,FEEDMILL,FF EW,FF WOMT/WOMW/WOCT 060212T-M IC928/IC830,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/Iscar_high_feed_mill_FF_EW.csv
Iscar,"HELI2000 Endmill, 90º Lead",HM90 E90A,APCR 100304 PDFR-P/DP IC28 (Non-Ferrous),http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/ISCAR_HM90__E90A_ENDMILL_ALUM.csv
