vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,3,Indexable End / Facemill,787,-1,-1,-1,-1,0.0098,0.0098,0.0098,0.0098,0.0098,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,4,Indexable End / Facemill,656,-1,-1,-1,-1,0.0087,0.0098,0.0098,0.0098,0.0098,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,15,Indexable End / Facemill,984,-1,-1,-1,-1,0.0098,0.0098,0.0098,0.0098,0.0098,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,16,Indexable End / Facemill,656,-1,-1,-1,-1,0.0091,0.0091,0.0091,0.0091,0.0091,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,17,Indexable End / Facemill,689,-1,-1,-1,-1,0.0087,0.0087,0.0087,0.0087,0.0087,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,18,Indexable End / Facemill,525,-1,-1,-1,-1,0.0071,0.0071,0.0071,0.0071,0.0071,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,19,Indexable End / Facemill,427,-1,-1,-1,-1,0.0071,0.0071,0.0071,0.0071,0.0071,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,20,Indexable End / Facemill,328,-1,-1,-1,-1,0.0059,0.0059,0.0059,0.0059,0.0059,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,21,Indexable End / Facemill,262,-1,-1,-1,-1,0.0063,0.0063,0.0063,0.0063,0.0063,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,12,Indexable End / Facemill,820,-1,-1,-1,-1,0.0079,0.0079,0.0079,0.0079,0.0079,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,13,Indexable End / Facemill,755,-1,-1,-1,-1,0.0079,0.0079,0.0079,0.0079,0.0079,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,14,Indexable End / Facemill,492,-1,-1,-1,-1,0.0079,0.0079,0.0079,0.0079,0.0079,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,22,Indexable End / Facemill,197,-1,-1,-1,-1,0.0071,0.0071,0.0071,0.0071,0.0071,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,9,Indexable End / Facemill,125,-1,-1,-1,-1,0.0059,0.0059,0.0059,0.0059,0.0059,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,1,Indexable End / Facemill,1312,-1,-1,-1,-1,0.007874016,0.007874016,0.007874016,0.007874016,0.007874016,-1,-1,-1,-1,1
Micro100,1.25 5fl Indexable Endmill,31-4024,Lamina APLX 1003 PDTR LT 30,http://www.lamina-tech.ch/img/catalog/478.pdf,0,Indexable End / Facemill,1312,-1,-1,-1,-1,0.007874016,0.007874016,0.007874016,0.007874016,0.007874016,-1,-1,-1,-1,1
