vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,3,HP Carbide Endmill,415,-1,0.0017,0.0032,0.0047,0.007,0.0081,0.0095,0.0105,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,4,HP Carbide Endmill,415,-1,0.0017,0.0032,0.0047,0.007,0.0081,0.0095,0.0105,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,15,HP Carbide Endmill,415,-1,0.0017,0.0032,0.0047,0.007,0.0081,0.0095,0.0105,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,16,HP Carbide Endmill,327,-1,0.0017,0.0034,0.0045,0.0065,0.0074,0.0093,0.0106,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,17,HP Carbide Endmill,327,-1,0.0017,0.0034,0.0045,0.0065,0.0074,0.0093,0.0106,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,18,HP Carbide Endmill,327,-1,0.0017,0.0034,0.0045,0.0065,0.0074,0.0093,0.0106,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,19,HP Carbide Endmill,265,-1,0.0015,0.0027,0.0039,0.0053,0.0063,0.0086,0.0095,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,20,HP Carbide Endmill,265,-1,0.0015,0.0027,0.0039,0.0053,0.0063,0.0086,0.0095,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,21,HP Carbide Endmill,265,-1,0.0015,0.0027,0.0039,0.0053,0.0063,0.0086,0.0095,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,12,HP Carbide Endmill,250,-1,0.0016,0.0031,0.0039,0.0055,0.0063,0.0081,0.0095,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,13,HP Carbide Endmill,250,-1,0.0016,0.0031,0.0039,0.0055,0.0063,0.0081,0.0095,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,14,HP Carbide Endmill,245,-1,0.0015,0.0027,0.0034,0.0051,0.0058,0.0072,0.0079,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,22,HP Carbide Endmill,245,-1,0.0015,0.0027,0.0034,0.0051,0.0058,0.0072,0.0079,-1,-1,-1,-1,-1,1
OSG,Exocarb Aero UVX 4-Flute,2050 and 2052,,,9,HP Carbide Endmill,120,-1,0.0011,0.0019,0.0023,0.0034,0.004,0.0062,0.0071,-1,-1,-1,-1,-1,1
