vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,0,Carbide Endmill,1200,-1,-1,-1,0.001,0.004,0.004,0.008,0.02,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,1,Carbide Endmill,1200,-1,-1,-1,0.001,0.004,0.004,0.008,0.02,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,2,Carbide Endmill,750,-1,-1,-1,0.001,0.001,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,3,Carbide Endmill,500,-1,-1,-1,0.001,0.002,0.002,0.005,0.006,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,4,Carbide Endmill,500,-1,-1,-1,0.001,0.002,0.002,0.005,0.006,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,5,Carbide Endmill,550,-1,-1,-1,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,9,Carbide Endmill,60,-1,-1,-1,0.0008,0.0012,0.0012,0.0018,0.0025,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,10,Carbide Endmill,550,-1,-1,-1,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,11,Carbide Endmill,1000,-1,-1,-1,0.002,0.003,0.004,0.008,0.012,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,13,Carbide Endmill,200,-1,-1,-1,0.001,0.002,0.002,0.003,0.004,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,15,Carbide Endmill,275,-1,-1,-1,0.001,0.002,0.002,0.003,0.004,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,21,Carbide Endmill,200,-1,-1,-1,0.001,0.001,0.002,0.003,0.004,-1,-1,-1,-1,-1,1
ProMax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.promaxtools.com/roughers-light-alloys-series-p-589-l-en.html,22,Carbide Endmill,160,-1,-1,-1,0.001,0.001,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
