vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,0,Indexable End / Facemill,3000,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,1,Indexable End / Facemill,1200,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,2,Indexable End / Facemill,1500,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,6,Indexable End / Facemill,1050,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,7,Indexable End / Facemill,145,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,9,Indexable End / Facemill,165,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,12,Indexable End / Facemill,615,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,13,Indexable End / Facemill,630,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,14,Indexable End / Facemill,460,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,15,Indexable End / Facemill,1100,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,16,Indexable End / Facemill,645,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,17,Indexable End / Facemill,1000,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,19,Indexable End / Facemill,940,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,20,Indexable End / Facemill,490,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,18,Indexable End / Facemill,565,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,21,Indexable End / Facemill,410,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1
Sandvik,"Facemill, 90 Degree",R390,Grade GC1030,,22,Indexable End / Facemill,280,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
