vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,0,HP Carbide Endmill,2000,-1,0.001,0.0015,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,1,HP Carbide Endmill,1200,-1,0.001,0.0015,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,2,HP Carbide Endmill,450,-1,0.001,0.0015,0.002,0.0025,0.003,0.004,0.005,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,3,HP Carbide Endmill,400,-1,0.0005,0.00075,0.0015,0.00175,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,4,HP Carbide Endmill,500,-1,0.0005,0.0011,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,5,HP Carbide Endmill,600,-1,0.001,0.0015,0.002,0.0025,0.003,0.004,0.005,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,6,HP Carbide Endmill,900,-1,0.001,0.0015,0.002,0.0025,0.003,0.005,0.007,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,7,HP Carbide Endmill,100,-1,0.0005,0.00075,0.001,0.001,0.001,0.0015,0.002,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,8,HP Carbide Endmill,1000,-1,0.001,0.0015,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,12,HP Carbide Endmill,400,-1,0.0005,0.00075,0.001,0.0015,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,13,HP Carbide Endmill,300,-1,0.0005,0.0005,0.0005,0.00075,0.001,0.003,0.005,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,16,HP Carbide Endmill,600,-1,0.0005,0.0075,0.001,0.0015,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,18,HP Carbide Endmill,400,-1,0.0005,0.0075,0.001,0.0015,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,20,HP Carbide Endmill,250,-1,0.0005,0.0075,0.001,0.0015,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,21,HP Carbide Endmill,150,-1,0.0005,0.0005,0.0005,0.00075,0.001,0.003,0.004,-1,-1,-1,-1,-1,1
Titan,Excelerator Variable Helix,601,,http://www.titanman.com/Catalog/2009/catalogindex.html,22,HP Carbide Endmill,300,-1,0.0005,0.00075,0.001,0.0015,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
