vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,0,Indexable End / Facemill,1450,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,1,Indexable End / Facemill,1500,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,2,Indexable End / Facemill,660,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,3,Indexable End / Facemill,220,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,4,Indexable End / Facemill,290,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,6,Indexable End / Facemill,660,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,7,Indexable End / Facemill,45,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,12,Indexable End / Facemill,260,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,13,Indexable End / Facemill,210,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,14,Indexable End / Facemill,130,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,15,Indexable End / Facemill,400,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,17,Indexable End / Facemill,300,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,19,Indexable End / Facemill,250,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,16,Indexable End / Facemill,290,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,18,Indexable End / Facemill,220,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,20,Indexable End / Facemill,175,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,21,Indexable End / Facemill,215,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1
Widia,"Facemill, 45 Degree Lead",TS45F,SEHT43/SEHW43 Uncoated,,22,Indexable End / Facemill,145,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,1
