vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,3,Carbide Endmill,330,-1,0.0006,0.0009,0.0012,0.0018,0.0023,0.003,0.0036,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,4,Carbide Endmill,390,-1,0.0009,0.0014,0.0018,0.0027,0.0035,0.0043,0.005,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,7,Carbide Endmill,70,-1,0.0004,0.0006,0.0008,0.0012,0.0016,0.002,0.0025,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,12,Carbide Endmill,200,-1,0.0006,0.0009,0.0012,0.0018,0.0023,0.003,0.0036,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,13,Carbide Endmill,200,-1,0.0006,0.0009,0.0012,0.0018,0.0023,0.003,0.0036,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,14,Carbide Endmill,160,-1,0.0005,0.0008,0.001,0.0015,0.0019,0.0024,0.0028,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,15,Carbide Endmill,490,-1,0.0009,0.0014,0.0018,0.0027,0.0035,0.0043,0.005,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,17,Carbide Endmill,460,-1,0.0009,0.0014,0.0018,0.0027,0.0035,0.0043,0.005,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,18,Carbide Endmill,390,-1,0.0007,0.0011,0.0015,0.0023,0.0029,0.0038,0.0046,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,19,Carbide Endmill,390,-1,0.0007,0.0011,0.0015,0.0023,0.0029,0.0038,0.0046,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,20,Carbide Endmill,300,-1,0.0007,0.001,0.0014,0.002,0.0026,0.0033,0.0039,-1,-1,-1,-1,-1,1
Widia,HP Solid Carbide End Mill Varimill,4V05,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22126.xml&XMLArg=22126.xml&logo=widia,21,Carbide Endmill,260,-1,0.0007,0.001,0.0014,0.002,0.0026,0.0033,0.0039,-1,-1,-1,-1,-1,1
