vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,3,Carbide Endmill,330,-1,-1,-1,0.0012,0.0018,0.0023,0.003,0.0036,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,4,Carbide Endmill,390,-1,-1,-1,0.0018,0.0027,0.0035,0.0043,0.005,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,7,Carbide Endmill,70,-1,-1,-1,0.0008,0.0012,0.0016,0.002,0.0025,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,12,Carbide Endmill,200,-1,-1,-1,0.0012,0.0018,0.0023,0.003,0.0036,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,13,Carbide Endmill,200,-1,-1,-1,0.0012,0.0018,0.0023,0.003,0.0036,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,14,Carbide Endmill,150,-1,-1,-1,0.001,0.0015,0.0019,0.0024,0.0028,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,15,Carbide Endmill,500,-1,-1,-1,0.0018,0.0027,0.0035,0.0043,0.005,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,17,Carbide Endmill,450,-1,-1,-1,0.0018,0.0027,0.0035,0.0043,0.005,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,18,Carbide Endmill,400,-1,-1,-1,0.0015,0.0023,0.0029,0.0038,0.0046,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,19,Carbide Endmill,400,-1,-1,-1,0.0015,0.0023,0.0029,0.0038,0.0046,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,20,Carbide Endmill,300,-1,-1,-1,0.0014,0.002,0.0026,0.0033,0.0039,-1,-1,-1,-1,-1,1
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.widia.com/e-catalog/ProductDisplayFS.jhtml?purl=22127.xml&XMLArg=22127.xml&logo=widia,21,Carbide Endmill,260,-1,-1,-1,0.0014,0.002,0.0026,0.0033,0.0039,-1,-1,-1,-1,-1,1
